Scanning B:\Local AI ...
[95000 sentences | 1 files | 1129s] avg_loss=1.4990 stats={'training_steps': 282000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5489, 'last_loss': np.float64(1.3331), 'approx_perplexity': 4.71}
[96000 sentences | 1 files | 1140s] avg_loss=1.4617 stats={'training_steps': 284000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4826, 'last_loss': np.float64(1.6578), 'approx_perplexity': 4.4}
[97000 sentences | 1 files | 1150s] avg_loss=1.4750 stats={'training_steps': 286000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5253, 'last_loss': np.float64(1.2726), 'approx_perplexity': 4.6}
[98000 sentences | 1 files | 1160s] avg_loss=1.5081 stats={'training_steps': 288000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5652, 'last_loss': np.float64(1.5483), 'approx_perplexity': 4.78}
[99000 sentences | 1 files | 1171s] avg_loss=1.5059 stats={'training_steps': 290000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5158, 'last_loss': np.float64(1.3574), 'approx_perplexity': 4.55}
[100000 sentences | 1 files | 1186s] avg_loss=1.4716 stats={'training_steps': 292000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5851, 'last_loss': np.float64(1.3816), 'approx_perplexity': 4.88}
[101000 sentences | 1 files | 1199s] avg_loss=1.5361 stats={'training_steps': 294000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6002, 'last_loss': np.float64(1.6515), 'approx_perplexity': 4.95}
[102000 sentences | 1 files | 1213s] avg_loss=1.5236 stats={'training_steps': 296000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5519, 'last_loss': np.float64(1.8228), 'approx_perplexity': 4.72}
[103000 sentences | 1 files | 1227s] avg_loss=1.5141 stats={'training_steps': 298000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.499, 'last_loss': np.float64(1.8183), 'approx_perplexity': 4.48}
[104000 sentences | 1 files | 1239s] avg_loss=1.4759 stats={'training_steps': 300000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4537, 'last_loss': np.float64(1.4298), 'approx_perplexity': 4.28}
[105000 sentences | 1 files | 1249s] avg_loss=1.5287 stats={'training_steps': 302000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6165, 'last_loss': np.float64(2.0704), 'approx_perplexity': 5.04}
[106000 sentences | 1 files | 1260s] avg_loss=1.5764 stats={'training_steps': 304000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.63, 'last_loss': np.float64(1.7831), 'approx_perplexity': 5.1}
[107000 sentences | 1 files | 1271s] avg_loss=1.4866 stats={'training_steps': 306000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5055, 'last_loss': np.float64(1.8039), 'approx_perplexity': 4.51}
[108000 sentences | 1 files | 1281s] avg_loss=1.5003 stats={'training_steps': 308000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5815, 'last_loss': np.float64(1.3751), 'approx_perplexity': 4.86}
[109000 sentences | 1 files | 1291s] avg_loss=1.4901 stats={'training_steps': 310000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5898, 'last_loss': np.float64(1.3523), 'approx_perplexity': 4.9}
[110000 sentences | 1 files | 1304s] avg_loss=1.5196 stats={'training_steps': 312000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6639, 'last_loss': np.float64(1.3496), 'approx_perplexity': 5.28}
[111000 sentences | 1 files | 1314s] avg_loss=1.5022 stats={'training_steps': 314000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5296, 'last_loss': np.float64(1.7889), 'approx_perplexity': 4.62}
[112000 sentences | 1 files | 1325s] avg_loss=1.5015 stats={'training_steps': 316000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5069, 'last_loss': np.float64(2.0641), 'approx_perplexity': 4.51}
[113000 sentences | 1 files | 1335s] avg_loss=1.5278 stats={'training_steps': 318000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5602, 'last_loss': np.float64(1.6873), 'approx_perplexity': 4.76}
[114000 sentences | 1 files | 1349s] avg_loss=1.6330 stats={'training_steps': 320000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6209, 'last_loss': np.float64(1.3135), 'approx_perplexity': 5.06}
[115000 sentences | 1 files | 1362s] avg_loss=1.6188 stats={'training_steps': 322000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5869, 'last_loss': np.float64(1.2574), 'approx_perplexity': 4.89}
[116000 sentences | 1 files | 1376s] avg_loss=1.5962 stats={'training_steps': 324000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5479, 'last_loss': np.float64(1.44), 'approx_perplexity': 4.7}
[117000 sentences | 1 files | 1391s] avg_loss=1.5853 stats={'training_steps': 326000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5658, 'last_loss': np.float64(1.7234), 'approx_perplexity': 4.79}
[118000 sentences | 1 files | 1401s] avg_loss=1.5266 stats={'training_steps': 328000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6077, 'last_loss': np.float64(1.5501), 'approx_perplexity': 4.99}
[119000 sentences | 1 files | 1411s] avg_loss=1.5248 stats={'training_steps': 330000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5091, 'last_loss': np.float64(1.7729), 'approx_perplexity': 4.52}
[120000 sentences | 1 files | 1421s] avg_loss=1.5316 stats={'training_steps': 332000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5612, 'last_loss': np.float64(1.129), 'approx_perplexity': 4.76}
[121000 sentences | 1 files | 1430s] avg_loss=1.4970 stats={'training_steps': 334000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.508, 'last_loss': np.float64(2.546), 'approx_perplexity': 4.52}
[122000 sentences | 1 files | 1440s] avg_loss=1.4784 stats={'training_steps': 336000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4537, 'last_loss': np.float64(1.2862), 'approx_perplexity': 4.28}
[123000 sentences | 1 files | 1449s] avg_loss=1.4880 stats={'training_steps': 338000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.7485, 'last_loss': np.float64(1.4323), 'approx_perplexity': 5.75}
[124000 sentences | 1 files | 1459s] avg_loss=1.6107 stats={'training_steps': 340000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5949, 'last_loss': np.float64(1.5698), 'approx_perplexity': 4.93}
[125000 sentences | 1 files | 1469s] avg_loss=1.5926 stats={'training_steps': 342000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6241, 'last_loss': np.float64(1.612), 'approx_perplexity': 5.07}
[126000 sentences | 1 files | 1479s] avg_loss=1.5816 stats={'training_steps': 344000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5913, 'last_loss': np.float64(1.2456), 'approx_perplexity': 4.91}
[127000 sentences | 1 files | 1489s] avg_loss=1.5805 stats={'training_steps': 346000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5089, 'last_loss': np.float64(2.2226), 'approx_perplexity': 4.52}
[128000 sentences | 1 files | 1499s] avg_loss=1.4722 stats={'training_steps': 348000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6768, 'last_loss': np.float64(1.6255), 'approx_perplexity': 5.35}
[129000 sentences | 1 files | 1507s] avg_loss=1.5266 stats={'training_steps': 350000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5993, 'last_loss': np.float64(1.704), 'approx_perplexity': 4.95}
[130000 sentences | 1 files | 1514s] avg_loss=1.5219 stats={'training_steps': 352000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.506, 'last_loss': np.float64(1.7941), 'approx_perplexity': 4.51}
[131000 sentences | 1 files | 1522s] avg_loss=1.5237 stats={'training_steps': 354000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5783, 'last_loss': np.float64(1.2817), 'approx_perplexity': 4.85}
